Time(s),RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787035547.04,-0.01,283.95,0.27,-0.05,0.00,-0.10,0.03,0.03,-0.33,-1.08,9.73
1787035547.14,-0.01,281.68,0.27,-0.06,0.00,-0.09,0.03,0.03,-0.37,-0.84,9.80
1787035547.24,-0.01,281.68,0.27,-0.06,0.00,-0.09,0.03,0.03,-0.37,-0.84,9.80
1787035547.34,-0.00,279.37,0.28,-0.07,-0.00,-0.09,0.04,0.03,-0.25,-0.91,9.79
1787035547.44,-0.00,279.37,0.28,-0.07,-0.00,-0.09,0.04,0.03,-0.25,-0.91,9.79
1787035547.54,-0.00,279.37,0.28,-0.07,-0.00,-0.09,0.04,0.03,-0.25,-0.91,9.79
1787035547.64,-0.00,277.51,0.28,-0.05,-0.00,-0.09,0.04,0.03,-0.22,-0.93,9.76
1787035547.74,-0.00,277.51,0.28,-0.05,-0.00,-0.09,0.04,0.03,-0.22,-0.93,9.76
1787035547.84,-0.01,275.81,0.29,-0.03,-0.00,-0.09,0.04,0.03,-0.30,-0.84,9.79
1787035547.94,-0.01,275.81,0.29,-0.03,-0.00,-0.08,0.04,0.03,-0.30,-0.84,9.79
1787035548.04,-0.01,275.81,0.29,-0.03,-0.00,-0.08,0.04,0.03,-0.30,-0.84,9.79
1787035548.14,-0.00,273.34,0.29,-0.00,-0.00,-0.08,0.04,0.03,-0.30,-0.73,9.74
1787035548.24,-0.00,273.34,0.29,-0.00,-0.00,-0.08,0.05,0.03,-0.30,-0.73,9.74
1787035548.34,-0.01,270.53,0.29,0.03,-0.00,-0.08,0.05,0.03,-0.25,-0.86,9.75
1787035548.44,-0.01,270.53,0.29,0.03,-0.00,-0.08,0.05,0.03,-0.25,-0.86,9.75
1787035548.54,-0.01,270.53,0.29,0.03,-0.00,-0.08,0.05,0.03,-0.25,-0.86,9.75
1787035548.64,-0.01,268.80,0.30,0.06,-0.00,-0.08,0.05,0.03,-0.22,-0.89,9.71
1787035548.74,-0.01,268.80,0.30,0.06,-0.00,-0.08,0.04,0.03,-0.22,-0.89,9.71
1787035548.84,-0.00,267.46,0.30,0.09,-0.01,-0.08,0.04,0.03,-0.29,-0.76,9.75
1787035548.94,-0.00,267.46,0.30,0.09,-0.01,-0.08,0.04,0.03,-0.29,-0.76,9.75
1787035549.04,-0.00,267.46,0.30,0.09,-0.01,-0.08,0.04,0.02,-0.29,-0.76,9.75
1787035549.14,-0.01,265.12,0.30,0.11,-0.00,-0.08,0.04,0.02,-0.32,-0.75,9.80
1787035549.24,-0.01,265.12,0.30,0.11,-0.00,-0.07,0.05,0.02,-0.32,-0.75,9.80
1787035549.34,-0.01,262.44,0.30,0.13,-0.00,-0.07,0.05,0.02,-0.67,-0.87,9.77
1787035549.44,-0.01,262.44,0.30,0.13,-0.00,-0.07,0.05,0.02,-0.67,-0.87,9.77
1787035549.54,-0.01,262.44,0.30,0.13,-0.00,-0.06,0.05,0.03,-0.67,-0.87,9.77
1787035549.64,-0.01,258.34,0.32,0.15,-0.00,-0.05,0.05,0.03,-0.77,-0.52,9.79
1787035549.74,-0.01,258.34,0.32,0.15,-0.00,-0.04,0.06,0.04,-0.77,-0.52,9.79
1787035549.84,-0.00,252.70,0.33,0.18,0.00,-0.04,0.07,0.04,-0.36,-0.54,10.03
1787035549.94,-0.00,252.70,0.33,0.18,0.00,-0.05,0.09,0.04,-0.36,-0.54,10.03
